ï»¿Date,Open,High,Low,Close
11-Dec-14,527.8,533.92,527.1,528.34
10-Dec-14,533.08,536.33,525.56,526.06
9-Dec-14,522.14,534.19,520.5,533.37
8-Dec-14,527.13,531,523.79,526.98
5-Dec-14,531,532.89,524.28,525.26
4-Dec-14,531.16,537.34,528.59,537.31
3-Dec-14,531.44,536,529.26,531.32
2-Dec-14,533.51,535.5,529.8,533.75
1-Dec-14,538.9,541.41,531.86,533.8
28-Nov-14,540.62,542,536.6,541.83
26-Nov-14,540.88,541.55,537.04,540.37
25-Nov-14,539,543.98,538.6,541.08
24-Nov-14,537.65,542.7,535.62,539.27
21-Nov-14,541.61,542.14,536.56,537.5
20-Nov-14,531.25,535.11,531.08,534.83
19-Nov-14,535,538.24,530.08,536.99
18-Nov-14,537.5,541.94,534.17,535.03
17-Nov-14,543.58,543.79,534.06,536.51
14-Nov-14,546.68,546.68,542.15,544.4
13-Nov-14,549.8,549.8,543.48,545.38
12-Nov-14,550.39,550.46,545.17,547.31
11-Nov-14,548.49,551.94,546.3,550.29
10-Nov-14,541.46,549.59,541.02,547.49
7-Nov-14,546.21,546.21,538.67,541.01
6-Nov-14,545.5,546.88,540.97,542.04
5-Nov-14,556.8,556.8,544.05,545.92
4-Nov-14,553,555.5,549.3,554.11
3-Nov-14,555.5,557.9,553.23,555.22
31-Oct-14,559.35,559.57,554.75,559.08
30-Oct-14,548.95,552.8,543.51,550.31
29-Oct-14,550,554.19,546.98,549.33
28-Oct-14,543,548.98,541.62,548.9
27-Oct-14,537.03,544.41,537.03,540.77
24-Oct-14,544.36,544.88,535.79,539.78
23-Oct-14,539.32,547.22,535.85,543.98
22-Oct-14,529.89,539.8,528.8,532.71
21-Oct-14,525.19,526.79,519.11,526.54
20-Oct-14,509.45,521.76,508.1,520.84
17-Oct-14,527.25,530.98,508.53,511.17
16-Oct-14,519,529.43,515,524.51
15-Oct-14,531.01,532.8,518.3,530.03
14-Oct-14,538.9,547.19,533.17,537.94
13-Oct-14,544.99,549.5,533.1,533.21
10-Oct-14,557.72,565.13,544.05,544.49
9-Oct-14,571.18,571.49,559.06,560.88
8-Oct-14,565.57,573.88,557.49,572.5
7-Oct-14,574.4,575.27,563.74,563.74
6-Oct-14,578.8,581,574.44,577.35
3-Oct-14,573.05,577.22,572.5,575.28
2-Oct-14,567.31,571.91,563.32,570.08
1-Oct-14,576.01,577.58,567.01,568.27
30-Sep-14,576.93,579.85,572.85,577.36
29-Sep-14,571.75,578.19,571.17,576.36
26-Sep-14,576.06,579.25,574.66,577.1
25-Sep-14,587.55,587.98,574.18,575.06
24-Sep-14,581.46,589.63,580.52,587.99
23-Sep-14,586.85,586.85,581,581.13
22-Sep-14,593.82,593.95,583.46,587.37
19-Sep-14,591.5,596.48,589.5,596.08
18-Sep-14,587,589.54,585,589.27
17-Sep-14,580.01,587.52,578.78,584.77
16-Sep-14,572.76,581.5,572.66,579.95
15-Sep-14,572.94,574.95,568.21,573.1
12-Sep-14,581,581.64,574.46,575.62
11-Sep-14,580.36,581.81,576.26,581.35
10-Sep-14,581.5,583.5,576.94,583.1
9-Sep-14,588.9,589,580,581.01
8-Sep-14,586.6,591.77,586.3,589.72
5-Sep-14,583.98,586.55,581.95,586.08
4-Sep-14,580,586,579.22,581.98
3-Sep-14,580,582.99,575,577.94
2-Sep-14,571.85,577.83,571.19,577.33
29-Aug-14,571.33,572.04,567.07,571.6
28-Aug-14,569.56,573.25,567.1,569.2
27-Aug-14,577.27,578.49,570.1,571
26-Aug-14,581.26,581.8,576.58,577.86
25-Aug-14,584.72,585,579,580.2
22-Aug-14,583.59,585.24,580.64,582.56
21-Aug-14,583.82,584.5,581.14,583.37
20-Aug-14,585.88,586.7,582.57,584.49
19-Aug-14,585,587.34,584,586.86
18-Aug-14,576.11,584.51,576,582.16
15-Aug-14,577.86,579.38,570.52,573.48
14-Aug-14,576.18,577.9,570.88,574.65
13-Aug-14,567.31,575,565.75,574.78
12-Aug-14,564.52,565.9,560.88,562.73
11-Aug-14,569.99,570.49,566,567.88
8-Aug-14,563.56,570.25,560.35,568.77
7-Aug-14,568,569.89,561.1,563.36
6-Aug-14,561.78,570.7,560,566.37
5-Aug-14,570.05,571.98,562.61,565.07
4-Aug-14,569.04,575.35,564.1,573.15
1-Aug-14,570.4,575.96,562.85,566.07
31-Jul-14,580.6,583.65,570,571.6
30-Jul-14,586.55,589.5,584,587.42
29-Jul-14,588.75,589.7,583.52,585.61
28-Jul-14,588.07,592.5,584.75,590.6
25-Jul-14,590.4,591.86,587.03,589.02
24-Jul-14,596.45,599.5,591.77,593.35
23-Jul-14,593.23,597.85,592.5,595.98
22-Jul-14,590.72,599.65,590.6,594.74
21-Jul-14,591.75,594.4,585.23,589.47
18-Jul-14,593,596.8,582,595.08
17-Jul-14,579.53,580.99,568.61,573.73
16-Jul-14,588,588.4,582.2,582.66
15-Jul-14,585.74,585.8,576.56,584.78
14-Jul-14,582.6,585.21,578.03,584.87
11-Jul-14,571.91,580.85,571.42,579.18
10-Jul-14,565.91,576.59,565.01,571.1
9-Jul-14,571.58,576.72,569.38,576.08
8-Jul-14,577.66,579.53,566.14,571.09
7-Jul-14,583.76,586.43,579.59,582.25
